,prod_id,pos_rate
0,AV13O1A8GV-KLJ3akUyj,100.0
1,AV14LG0R-jtxr-f38QfS,100.0
2,AV16khLE-jtxr-f38VFn,57.69
3,AV1d76w7vKc47QAVhCqn,100.0
4,AV1h6gSl-jtxr-f31p40,100.0
5,AV1h6Gu0glJLPUi8IjA_,84.62
6,AV1l8zRZvKc47QAVhnAv,98.24
7,AV1YGDqsGV-KLJ3adc-O,85.63
8,AV1YIch7GV-KLJ3addeG,100.0
9,AV1YlENIglJLPUi8IHsX,88.24
10,AV1YmBrdGV-KLJ3adewb,100.0
11,AV1YmDL9vKc47QAVgr7_,91.95
12,AV1Ymf_rglJLPUi8II2v,100.0
13,AV1Yn94nvKc47QAVgtst,96.0
14,AV1Ynb3bglJLPUi8IJxJ,100.0
15,AV1YneDPglJLPUi8IJyQ,96.97
16,AV1YnUMYglJLPUi8IJpK,100.0
17,AV1Yo6FPglJLPUi8IK3u,100.0
18,AV1YpiJvvKc47QAVguxy,100.0
19,AV1YqAaMGV-KLJ3adiDj,78.57
20,AV1Ys0kTvKc47QAVgx1C,100.0
21,AV1YtGjdglJLPUi8IOfJ,94.29
22,AV1ZSp2uglJLPUi8IQFy,100.0
23,AV1ZT7GLglJLPUi8IQLI,81.63
24,AV1ZVIgy-jtxr-f31W9N,77.78
25,AV2AvGnjGV-KLJ3alTQH,100.0
26,AV2Avn5dGV-KLJ3alTjq,100.0
27,AV2BOOWS-jtxr-f39GPS,100.0
28,AVpe_5U_ilAPnD_xSrxG,100.0
29,AVpe_dxlilAPnD_xSiHI,100.0
30,AVpe_N91LJeJML43z4jD,70.0
31,AVpe_pDG1cnluZ0-bjSf,100.0
32,AVpe_y-I1cnluZ0-bmvh,95.24
33,AVpe3_ikilAPnD_xPykq,100.0
34,AVpe31o71cnluZ0-YrSD,95.47
35,AVpe38Uy1cnluZ0-YuJR,55.56
36,AVpe41TqilAPnD_xQH3d,97.07
37,AVpe4Bq81cnluZ0-YwTN,100.0
38,AVpe4-GPLJeJML43xmuY,0.0
39,AVpe4hE0ilAPnD_xQABx,100.0
40,AVpe4hlXLJeJML43xbrB,100.0
41,AVpe4pnBilAPnD_xQDeb,80.0
42,AVpe59io1cnluZ0-ZgDU,98.15
43,AVpe5AMsLJeJML43xnku,100.0
44,AVpe5c23LJeJML43xybi,78.12
45,AVpe5JOgilAPnD_xQPfE,97.37
46,AVpe5Mv4ilAPnD_xQQyy,100.0
47,AVpe5s3RLJeJML43x4eA,93.18
48,AVpe5tC61cnluZ0-ZZ86,100.0
49,AVpe5ttZLJeJML43x4yO,100.0
50,AVpe5WElLJeJML43xv4b,100.0
51,AVpe6_VI1cnluZ0-Z4do,100.0
52,AVpe625_ilAPnD_xQ4SP,0.0
53,AVpe6C3WLJeJML43yApY,66.67
54,AVpe6CHv1cnluZ0-ZhwN,82.35
55,AVpe6FfKilAPnD_xQmHi,93.1
56,AVpe6FpaLJeJML43yBuP,100.0
57,AVpe6n2_LJeJML43yOgE,91.23
58,AVpe6PCDLJeJML43yFQH,80.0
59,AVpe71Vk1cnluZ0-aL_Z,83.33
60,AVpe78stLJeJML43ytOY,83.33
61,AVpe7GIELJeJML43yZfu,100.0
62,AVpe7jB8LJeJML43yj91,100.0
63,AVpe7JTHilAPnD_xQ_Cl,100.0
64,AVpe7sl91cnluZ0-aI1Y,97.56
65,AVpe7tA31cnluZ0-aI-r,100.0
66,AVpe7zdzLJeJML43yp3d,90.91
67,AVpe8dHWLJeJML43y4uG,83.33
68,AVpe8gsILJeJML43y6Ed,97.42
69,AVpe8q4T1cnluZ0-afct,66.67
70,AVpe8xjUilAPnD_xRkxC,89.47
71,AVpe9vHs1cnluZ0-a4TU,80.0
72,AVpe9W4D1cnluZ0-avf0,91.29
73,AVpe-ltS1cnluZ0-bL8w,100.0
74,AVpe-M4-ilAPnD_xSF1K,100.0
75,AVpe-MCY1cnluZ0-bCv_,100.0
76,AVpe-PJnLJeJML43ziaj,100.0
77,AVpe-YAL1cnluZ0-bHGh,0.0
78,AVpf_rYe1cnluZ0-ut8Y,100.0
79,AVpf0eb2LJeJML43EVSt,98.78
80,AVpf0kZFilAPnD_xi5QZ,100.0
81,AVpf0O60ilAPnD_xizE6,95.83
82,AVpf0pfrilAPnD_xi6s_,100.0
83,AVpf0thK1cnluZ0-r8vR,100.0
84,AVpf0YhQLJeJML43ETff,100.0
85,AVpf1pwXLJeJML43EqpT,100.0
86,AVpf1ryk1cnluZ0-sONd,100.0
87,AVpf2tw1ilAPnD_xjflC,99.7
88,AVpf385g1cnluZ0-s0_t,92.78
89,AVpf3okQLJeJML43FMif,85.0
90,AVpf3VOfilAPnD_xjpun,99.74
91,AVpf4oLxLJeJML43FcxC,100.0
92,AVpf4WWN1cnluZ0-s7Wj,66.67
93,AVpf5CnILJeJML43FjaU,100.0
94,AVpf5FF71cnluZ0-tHAV,97.83
95,AVpf5olc1cnluZ0-tPrO,98.27
96,AVpf5ujMilAPnD_xkQVi,42.86
97,AVpf5Z1zLJeJML43FpB-,97.42
98,AVpf5ZcH1cnluZ0-tL9V,100.0
99,AVpf63aJLJeJML43F__Q,96.56
100,AVpf7aUAilAPnD_xkqbP,100.0
101,AVpf7fFbilAPnD_xkrmW,100.0
